Jahr,DatumDownload,Zubau_Leistung_kW,Zubau_Anzahl,Abbau_Leistung_kW,Abbau_Anzahl,Netto_Zubau_Leistung_kW,Netto_Zubau_Anzahl,Kum_Zubau_kW,Kum_Abbau_kW,Bestand_Leistung_kW,Kum_Zubau_Anzahl,Kum_Abbau_Anzahl,Bestand_Anzahl
1950,2026-01-18,7.47,1.0,0.0,0.0,7.47,1.0,7.47,0.0,7.47,1.0,0.0,1.0
1951,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,7.47,0.0,7.47,1.0,0.0,1.0
1952,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,7.47,0.0,7.47,1.0,0.0,1.0
1953,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,7.47,0.0,7.47,1.0,0.0,1.0
1954,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,7.47,0.0,7.47,1.0,0.0,1.0
1955,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,7.47,0.0,7.47,1.0,0.0,1.0
1956,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,7.47,0.0,7.47,1.0,0.0,1.0
1957,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,7.47,0.0,7.47,1.0,0.0,1.0
1958,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,7.47,0.0,7.47,1.0,0.0,1.0
1959,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,7.47,0.0,7.47,1.0,0.0,1.0
1960,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,7.47,0.0,7.47,1.0,0.0,1.0
1961,2026-01-18,14.0,2.0,0.0,0.0,14.0,2.0,21.47,0.0,21.47,3.0,0.0,3.0
1962,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1963,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1964,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1965,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1966,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1967,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1968,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1969,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1970,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1971,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1972,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1973,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1974,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1975,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1976,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1977,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1978,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1979,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1980,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1981,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1982,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1983,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1984,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1985,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1986,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.47,0.0,21.47,3.0,0.0,3.0
1987,2026-01-18,0.38,1.0,0.0,0.0,0.38,1.0,21.849999999999998,0.0,21.849999999999998,4.0,0.0,4.0
1988,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,21.849999999999998,0.0,21.849999999999998,4.0,0.0,4.0
1989,2026-01-18,1.2,2.0,0.0,0.0,1.2,2.0,23.049999999999997,0.0,23.049999999999997,6.0,0.0,6.0
1990,2026-01-18,7.609999999999999,6.0,0.0,0.0,7.609999999999999,6.0,30.659999999999997,0.0,30.659999999999997,12.0,0.0,12.0
1991,2026-01-18,21.93,11.0,0.0,0.0,21.93,11.0,52.589999999999996,0.0,52.589999999999996,23.0,0.0,23.0
1992,2026-01-18,104.86,45.0,0.0,0.0,104.86,45.0,157.45,0.0,157.45,68.0,0.0,68.0
1993,2026-01-18,31.28,18.0,0.0,0.0,31.28,18.0,188.73,0.0,188.73,86.0,0.0,86.0
1994,2026-01-18,37.658,18.0,0.0,0.0,37.658,18.0,226.38799999999998,0.0,226.38799999999998,104.0,0.0,104.0
1995,2026-01-18,46.9,19.0,0.0,0.0,46.9,19.0,273.28799999999995,0.0,273.28799999999995,123.0,0.0,123.0
1996,2026-01-18,108.794,20.0,0.0,0.0,108.794,20.0,382.08199999999994,0.0,382.08199999999994,143.0,0.0,143.0
